Time,Value
0.0171656,-0.114403
0.0171883,-0.0958538
0.017211,-0.0772654
0.0172336,-0.0586444
0.0172563,-0.0399979
0.017279,-0.02133
0.0173017,-0.00265053
0.0173243,0.0160365
0.017347,0.0347238
0.0173697,0.0534047
0.0173924,0.0720728
0.017415,0.0907214
0.0174377,0.109344
0.0174604,0.127934
0.0174831,0.146485
0.0175057,0.164991
0.0175284,0.183444
0.0175511,0.201838
0.0175738,0.220168
0.0175964,0.238425
0.0176191,0.256604
0.0176418,0.274699
0.0176645,0.292702
0.0176871,0.310607
0.0177098,0.328409
0.0177325,0.346099
0.0177552,0.363674
0.0177778,0.381125
0.0178005,0.398446
0.0178232,0.415632
0.0178459,0.432677
0.0178686,0.449573
0.0178912,0.466314
0.0179139,0.482896
0.0179366,0.499311
0.0179593,0.515554
0.0179819,0.531619
0.0180046,0.547499
0.0180273,0.56319
0.01805,0.578684
0.0180726,0.593978
0.0180953,0.609064
0.018118,0.623937
0.0181407,0.638593
0.0181633,0.653024
0.018186,0.667227
0.0182087,0.681195
0.0182314,0.694924
0.018254,0.708408
0.0182767,0.721642
0.0182994,0.734622
0.0183221,0.747343
0.0183447,0.759798
0.0183674,0.771985
0.0183901,0.783898
0.0184128,0.795533
0.0184354,0.806885
0.0184581,0.817949
0.0184808,0.828723
0.0185035,0.839201
0.0185262,0.849379
0.0185488,0.859254
0.0185715,0.868822
0.0185942,0.878078
0.0186169,0.88702
0.0186395,0.895643
0.0186622,0.903945
0.0186849,0.911921
0.0187076,0.91957
0.0187302,0.926887
0.0187529,0.93387
0.0187756,0.940516
0.0187983,0.946822
0.0188209,0.952786
0.0188436,0.958405
0.0188663,0.963677
0.018889,0.968599
0.0189116,0.97317
0.0189343,0.977387
0.018957,0.981248
0.0189797,0.984753
0.0190023,0.987898
0.019025,0.990684
0.0190477,0.993107
0.0190704,0.995168
0.019093,0.996865
0.0191157,0.998197
0.0191384,0.999164
0.0191611,0.999764
0.0191838,0.999997
0.0192064,0.999862
0.0192291,0.99936
0.0192518,0.998491
0.0192745,0.997253
0.0192971,0.995648
0.0193198,0.993675
0.0193425,0.991335
0.0193652,0.988629
0.0193878,0.985557
0.0194105,0.98212
0.0194332,0.978318
0.0194559,0.974154
0.0194785,0.969628
0.0195012,0.964741
0.0195239,0.959496
0.0195466,0.953893
0.0195692,0.947934
0.0195919,0.941622
0.0196146,0.934958
0.0196373,0.927945
0.0196599,0.920585
0.0196826,0.912879
0.0197053,0.904832
0.019728,0.896444
0.0197506,0.88772
0.0197733,0.878663
0.019796,0.869274
0.0198187,0.859558
0.0198414,0.849518
0.019864,0.839158
0.0198867,0.82848
0.0199094,0.817489
0.0199321,0.806188
0.0199547,0.794582
0.0199774,0.782674
0.0200001,0.770469
0.0200228,0.757971
0.0200454,0.745184
0.0200681,0.732114
0.0200908,0.718763
0.0201135,0.705139
0.0201361,0.691245
0.0201588,0.677086
0.0201815,0.662668
0.0202042,0.647995
0.0202268,0.633074
0.0202495,0.617908
0.0202722,0.602505
0.0202949,0.586869
0.0203175,0.571006
0.0203402,0.554922
0.0203629,0.538624
0.0203856,0.522116
0.0204082,0.505405
0.0204309,0.488497
0.0204536,0.471399
0.0204763,0.454116
0.020499,0.436657
0.0205216,0.419024
0.0205443,0.401229
0.020567,0.383273
0.0205897,0.365168
0.0206123,0.346918
0.020635,0.328529
0.0206577,0.31001
0.0206804,0.291366
0.020703,0.272606
0.0207257,0.253736
0.0207484,0.234763
0.0207711,0.215694
0.0207937,0.196538
0.0208164,0.1773
0.0208391,0.157988
0.0208618,0.13861
0.0208844,0.119173
0.0209071,0.0996847
0.0209298,0.0801531
0.0209525,0.0605828
0.0209751,0.0409854
0.0209978,0.0213644
0.0210205,0.0017314
0.0210432,-0.0179091
0.0210658,-0.0375485
0.0210885,-0.0571793
0.0211112,-0.0767937
0.0211339,-0.0963843
0.0211565,-0.115943
0.0211792,-0.135463
0.0212019,-0.154937
0.0212246,-0.174356
0.0212473,-0.193713
0.0212699,-0.213
0.0212926,-0.232211
0.0213153,-0.251337
0.021338,-0.270371
0.0213606,-0.289306
0.0213833,-0.308133
0.021406,-0.326845
0.0214287,-0.345437
0.0214513,-0.363899
0.021474,-0.382225
0.0214967,-0.400406
0.0215194,-0.418437
0.021542,-0.436309
0.0215647,-0.454017
0.0215874,-0.471551
0.0216101,-0.488907
0.0216327,-0.506076
0.0216554,-0.523051
0.0216781,-0.539827
0.0217008,-0.556396
0.0217234,-0.572751
0.0217461,-0.588886
0.0217688,-0.604794
0.0217915,-0.620469
0.0218141,-0.635904
0.0218368,-0.651094
0.0218595,-0.666031
0.0218822,-0.68071
0.0219049,-0.695125
0.0219275,-0.70927
0.0219502,-0.723139
0.0219729,-0.736726
0.0219956,-0.750026
0.0220182,-0.763033
0.0220409,-0.775742
0.0220636,-0.788148
0.0220863,-0.800244
0.0221089,-0.812027
0.0221316,-0.823491
0.0221543,-0.834632
0.022177,-0.845444
0.0221996,-0.855924
0.0222223,-0.866066
0.022245,-0.875866
0.0222677,-0.885321
0.0222903,-0.894426
0.022313,-0.903176
0.0223357,-0.911569
0.0223584,-0.919601
0.022381,-0.927268
0.0224037,-0.934566
0.0224264,-0.941494
0.0224491,-0.948046
0.0224717,-0.954221
0.0224944,-0.960015
0.0225171,-0.965427
0.0225398,-0.970453
0.0225625,-0.975092
0.0225851,-0.97934
0.0226078,-0.983196
0.0226305,-0.986658
0.0226532,-0.989724
0.0226758,-0.992393
0.0226985,-0.994664
0.0227212,-0.996534
0.0227439,-0.998003
0.0227665,-0.99907
0.0227892,-0.999735
0.0228119,-0.999996
0.0228346,-0.999853
0.0228572,-0.999306
0.0228799,-0.998354
0.0229026,-0.996998
0.0229253,-0.995238
0.0229479,-0.993075
0.0229706,-0.990508
0.0229933,-0.987539
0.023016,-0.984168
0.0230386,-0.980396
0.0230613,-0.976225
0.023084,-0.971656
0.0231067,-0.966691
